"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 11 11:20:28 GMT 2025","Tue Feb 11 11:20:30 GMT 2025","1909","","スモークテスト","","","","Webサイトを開きログインする",""
"passed","Tue Feb 11 11:20:26 GMT 2025","Tue Feb 11 11:20:28 GMT 2025","2129","","一般的なエラーのテスト","","","","ユーザーが存在しないURLにアクセスすると、エラーメッセージと商品一覧へのリンクが表示される",""
