"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 11 10:20:09 GMT 2025","Tue Feb 11 10:20:11 GMT 2025","2131","","一般的なエラーのテスト","","","","ユーザーが存在しないURLにアクセスすると、エラーメッセージと商品一覧へのリンクが表示される",""
"passed","Tue Feb 11 10:20:11 GMT 2025","Tue Feb 11 10:20:13 GMT 2025","2210","","スモークテスト","","","","Webサイトを開きログインする",""
