"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 11 12:09:21 GMT 2025","Tue Feb 11 12:09:26 GMT 2025","4422","","注文プロセスのテスト","","","","ログインし、お弁当を注文し、お弁当を受け取る",""
"passed","Tue Feb 11 12:09:20 GMT 2025","Tue Feb 11 12:09:21 GMT 2025","1555","","一般的なエラーのテスト","","","","ユーザーが存在しないURLにアクセスすると、エラーメッセージと商品一覧へのリンクが表示される",""
